Data Series,2022 3Q ,2022 2Q ,2022 1Q ,2021 4Q ,2021 3Q ,2021 2Q ,2021 1Q ,2020 4Q ,2020 3Q ,2020 2Q ,2020 1Q ,2019 4Q ,2019 3Q ,2019 2Q ,2019 1Q ,2018 4Q ,2018 3Q ,2018 2Q ,2018 1Q ,2017 4Q ,2017 3Q ,2017 2Q ,2017 1Q ,2016 4Q ,2016 3Q ,2016 2Q ,2016 1Q ,2015 4Q ,2015 3Q ,2015 2Q ,2015 1Q ,2014 4Q ,2014 3Q ,2014 2Q ,2014 1Q ,2013 4Q ,2013 3Q ,2013 2Q ,2013 1Q ,2012 4Q ,2012 3Q ,2012 2Q ,2012 1Q ,2011 4Q ,2011 3Q ,2011 2Q ,2011 1Q ,2010 4Q ,2010 3Q ,2010 2Q ,2010 1Q ,2009 4Q ,2009 3Q ,2009 2Q ,2009 1Q ,2008 4Q ,2008 3Q ,2008 2Q ,2008 1Q ,2007 4Q ,2007 3Q ,2007 2Q ,2007 1Q ,2006 4Q ,2006 3Q ,2006 2Q ,2006 1Q ,2005 4Q ,2005 3Q ,2005 2Q ,2005 1Q ,2004 4Q ,2004 3Q ,2004 2Q ,2004 1Q ,2003 4Q ,2003 3Q ,2003 2Q ,2003 1Q ,2002 4Q ,2002 3Q ,2002 2Q ,2002 1Q ,2001 4Q ,2001 3Q ,2001 2Q ,2001 1Q ,2000 4Q ,2000 3Q ,2000 2Q ,2000 1Q ,1999 4Q ,1999 3Q ,1999 2Q ,1999 1Q ,1998 4Q ,1998 3Q ,1998 2Q ,1998 1Q ,1997 4Q ,1997 3Q ,1997 2Q ,1997 1Q ,1996 4Q ,1996 3Q ,1996 2Q ,1996 1Q ,1995 4Q ,1995 3Q ,1995 2Q ,1995 1Q ,1994 4Q ,1994 3Q ,1994 2Q ,1994 1Q ,1993 4Q ,1993 3Q ,1993 2Q ,1993 1Q ,1992 4Q ,1992 3Q ,1992 2Q ,1992 1Q ,1991 4Q ,1991 3Q ,1991 2Q ,1991 1Q ,1990 4Q ,1990 3Q ,1990 2Q ,1990 1Q 
Total,110500,127000,123100,114000,104200,93800,67000,53000,53300,42800,44400,50000,52900,53900,54700,57800,63300,58300,52100,46600,53100,50000,45300,44500,53800,50500,49200,50600,60000,63000,63700,61200,67400,63900,60500,56500,61900,52100,51100,43900,56400,47300,46800,51700,54000,55900,49300,44100,50200,45100,37300,35800,36900,26100,22900,27400,40400,42300,40900,40800,38800,39200,35700,33300,32200,33000,26100,19800,20100,19200,17500,16200,18900,15400,15400,13100,13100,12000,12100,12900,17200,16100,13900,12500,14100,17300,19800,22100,32400,29800,26200,22000,25100,19300,16800,12600,15500,19100,26100,32000,44600,44700,46900,37300,44300,46700,48600,40700,47800,48400,47800,40000,46500,44300,44000,34200,40200,39000,39300,34100,37900,41700,38700,31400,40900,39700,40400,36100,47300,46100,45100
  Goods Producing Industries,23900,28200,27700,26900,26200,27600,15900,11000,9300,5900,7800,7600,8800,9500,11000,12300,13900,10700,9900,7900,9600,8500,8400,7200,8900,8400,8200,8700,10700,10500,11400,11700,13600,12900,12100,11700,12900,11900,12300,9600,12200,11900,11400,11800,12900,14700,13300,11200,12300,11300,10300,8500,9500,5900,4000,4500,11300,12000,12100,12400,11000,11400,11000,10100,10300,12000,8300,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Manufacturing,13700,15900,14500,13800,13400,15200,8900,5900,5400,4600,6100,6000,6200,6900,7200,7500,9200,8300,8100,6000,7200,6200,6600,5200,6100,6200,5900,6400,6800,6800,7800,7600,9200,8900,8200,7400,8200,7700,7700,6000,7100,7700,7600,7800,8500,10300,9200,7400,8500,8900,7800,6100,6000,4300,2700,2900,7300,7700,8300,8800,7900,8400,9000,8000,8600,9300,7300,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"      Food, Beverages & Tobacco",1500,1800,1800,1700,1500,1400,800,1000,1000,500,500,700,700,600,700,600,1000,600,600,600,600,600,500,400,700,700,800,800,1000,600,600,800,1100,500,800,800,800,500,700,500,800,400,400,800,1000,600,500,700,600,400,300,200,500,300,200,200,300,500,400,400,400,400,300,400,300,300,300,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Paper/Rubber/Plastic Products & Printing,700,800,1200,1100,900,1400,700,400,400,200,200,300,200,200,300,400,400,300,300,300,300,400,300,300,200,300,300,200,300,400,500,400,400,600,500,400,400,500,500,300,400,400,600,500,600,500,600,500,600,500,500,300,400,300,200,300,400,700,700,700,600,500,600,500,500,500,400,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"      Petroleum, Chemical & Pharmaceutical Products",1000,1200,1100,1100,800,1000,500,500,400,500,600,700,600,600,700,600,700,800,700,400,500,400,400,400,500,500,400,500,400,700,600,500,600,500,600,400,500,500,700,400,400,500,400,400,400,500,400,300,500,400,400,300,300,300,300,300,500,500,400,300,500,500,400,300,300,400,200,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"      Fabricated Metal Products, Machinery & Equipment",4600,4700,3800,3100,3500,4400,2400,1200,1200,600,900,1000,1400,1600,1200,1300,1800,1900,1500,1400,1300,1100,1100,700,1000,1200,1300,1100,1300,1400,1800,2100,2700,2200,1900,2000,2500,1800,2000,1400,2100,2600,2400,2600,2000,2300,1700,1200,2100,2000,1800,1200,1500,700,500,600,2500,1800,2200,2400,2600,2000,2700,2800,2200,2400,1700,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"      Electronic, Computer & Optical Products",2600,3600,3100,3000,3100,3200,1800,1300,1100,1700,2200,1500,1700,1800,1900,2100,2100,2400,2600,1900,3000,2300,2800,2300,2000,1700,1400,1500,1500,2000,2500,1600,1900,2500,2000,1700,1400,1800,1800,1600,1300,2000,1900,2000,2400,2700,2400,2300,2500,3200,2100,1200,800,1300,500,300,1200,2000,2000,2200,1600,2000,2400,2100,2800,3000,2600,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Transport Equipment,1800,2400,2000,2000,1800,2400,1300,500,400,200,900,1400,900,1400,1400,1600,1900,1400,1600,900,900,900,900,600,900,700,900,1600,1300,800,1000,1500,1600,1600,1600,1300,1600,1500,1100,1100,1200,1300,1300,1100,1300,3100,2900,1800,1400,1400,1600,1700,1600,1000,900,900,2000,1800,2100,2200,1800,2200,1900,1500,1800,2000,1500,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Other Manufacturing Industries,1500,1400,1500,1800,1800,1400,1300,1000,900,800,900,500,700,700,900,800,1200,800,700,500,600,600,500,500,700,1000,800,700,900,800,800,600,900,900,800,800,900,1100,1000,700,800,500,600,500,900,700,800,700,700,1100,1100,1000,800,300,100,400,400,500,500,700,600,800,700,400,600,700,600,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
