year,industry1,industry2,job_vacancy
2004,services,wholesale and retail trade,1600
2004,services,transport and storage,2100
2004,services,hotels and restaurants,1600
2004,services,information and communications,700
2004,services,financial services,900
2004,services,real estate and leasing services,400
2004,services,professional services,900
2004,services,administrative and support services,600
2004,services,"community, social and personal services",1300
2004,others,others,300
2005,manufacturing,"food, beverages and tobacco",200
2005,manufacturing,paper products and printing,200
2005,manufacturing,"petroleum, chemical and pharmaceutical products",200
2005,manufacturing,rubber and plastic products,300
2005,manufacturing,fabricated metal products,500
2005,manufacturing,machinery and equipment,800
2005,manufacturing,electrical products,100
2005,manufacturing,electronic products,2200
2005,manufacturing,medical and precision instruments,200
2005,manufacturing,transport equipment,1500
2005,manufacturing,other manufacturing industries,200
2005,construction,construction,700
2005,services,wholesale and retail trade,2100
2005,services,transport and storage,2100
2005,services,hotels and restaurants,1600
2005,services,information and communications,700
2005,services,financial services,1200
2005,services,real estate and leasing services,400
2005,services,professional services,1200
2005,services,administrative and support services,1300
2005,services,"community, social and personal services",1500
2005,others,others,200
2006,manufacturing,"food, beverages and tobacco",300
2006,manufacturing,"paper,rubber,plastic products and printing",500
2006,manufacturing,"petroleum, chemical and pharmaceutical products",300
2006,manufacturing,"fabricated metal products, machinery and equipment",2300
2006,manufacturing,"electronic, computer and optical products",2600
2006,manufacturing,transport equipment,1700
2006,manufacturing,other manufacturing industries,600
2006,construction,construction,1600
2006,services,wholesale and retail trade,3100
2006,services,transportation and storage,2700
2006,services,accommodation and food services,2200
2006,services,information and communications,1000
2006,services,financial and insurance services,1600
2006,services,real estate services,600
2006,services,professional services,1800
2006,services,administrative and support services,2000
2006,services,"community, social and personal services",6000
2006,others,others,300
2007,manufacturing,"food, beverages and tobacco",400
2007,manufacturing,"paper,rubber,plastic products and printing",600
2007,manufacturing,"petroleum, chemical and pharmaceutical products",400
2007,manufacturing,"fabricated metal products, machinery and equipment",2400
2007,manufacturing,"electronic, computer and optical products",2100
2007,manufacturing,transport equipment,2000
2007,manufacturing,other manufacturing industries,700
2007,construction,construction,2400
2007,services,wholesale and retail trade,4100
2007,services,transportation and storage,3100
2007,services,accommodation and food services,2400
2007,services,information and communications,1200
2007,services,financial and insurance services,2600
2007,services,real estate services,900
2007,services,professional services,2700
2007,services,administrative and support services,2800
2007,services,"community, social and personal services",7400
2007,others,others,500
2008,manufacturing,"food, beverages and tobacco",300
2008,manufacturing,"paper,rubber,plastic products and printing",500
2008,manufacturing,"petroleum, chemical and pharmaceutical products",400
2008,manufacturing,"fabricated metal products, machinery and equipment",1800
2008,manufacturing,"electronic, computer and optical products",1400
2008,manufacturing,transport equipment,1700
2008,manufacturing,other manufacturing industries,500
2008,construction,construction,3000
2008,services,wholesale and retail trade,3800
2008,services,transportation and storage,2300
2008,services,accommodation and food services,2500
2008,services,information and communications,1400
2008,services,financial and insurance services,1900
2008,services,real estate services,900
2008,services,professional services,2600
2008,services,administrative and support services,3100
2008,services,"community, social and personal services",9300
2008,others,others,500
2009,manufacturing,"food, beverages and tobacco",300
2009,manufacturing,"paper,rubber,plastic products and printing",300
2009,manufacturing,"petroleum, chemical and pharmaceutical products",300
2009,manufacturing,"fabricated metal products, machinery and equipment",1000
2009,manufacturing,"electronic, computer and optical products",900
2009,manufacturing,transport equipment,1300
2009,manufacturing,other manufacturing industries,500
2009,construction,construction,1900
2009,services,wholesale and retail trade,2900
2009,services,transportation and storage,1500
2009,services,accommodation and food services,2100
2009,services,information and communications,800
2009,services,financial and insurance services,1300
2009,services,real estate services,900
2009,services,professional services,1500
2009,services,administrative and support services,2200
2009,services,"community, social and personal services",10200
2009,others,others,400
2010,manufacturing,"food, beverages and tobacco",500
2010,manufacturing,"paper,rubber,plastic products and printing",500
2010,manufacturing,"petroleum, chemical and pharmaceutical products",400
2010,manufacturing,"fabricated metal products, machinery and equipment",1800
2010,manufacturing,"electronic, computer and optical products",2500
2010,manufacturing,transport equipment,1500
2010,manufacturing,other manufacturing industries,900
2010,construction,construction,2700
