"Time","Food..Beverages...Tobacco","Paper.Rubber.Plastic.Products...Printing","Petroleum..Chemical...Pharmaceutical.Products","Fabricated.Metal.Products..Machinery...Equipment","Electronic..Computer...Optical.Products","Transport.Equipment","Other.Manufacturing.Industries","Construction","Wholesale.Trade","Retail.Trade","Land.Transport...Supporting.Services","Water.Transport...Supporting.Services","Air.Transport...Supporting.Services","Other.Transportation...Storage.Services","Accommodation","Food...Beverage.Services","Telecommunications..Broadcasting...Publishing","IT...Other.Information.Services","Financial.Services","Insurance.Services","Real.Estate.Services","Legal..Accounting...Management.Services","Architectural...Engineering.Services","Other.Professional.Services","Security...Investigation","Cleaning...Landscaping","Other.Administrative...Support.Services","Public.Administration...Education","Health...Social.Services","Arts..Entertainment...Recreation","Other.Community..Social...Personal.Services","Others"
2009.75,525,395.833333333333,304.166666666667,1483.33333333333,620.833333333333,1616.66666666667,841.666666666667,3233.33333333333,2250,1775,408.333333333333,220.833333333333,591.666666666667,516.666666666667,820.833333333333,2712.5,379.166666666667,620.833333333333,1112.5,316.666666666667,1025,725,625,304.166666666667,1875,716.666666666667,737.5,7191.66666666667,1520.83333333333,829.166666666667,729.166666666667,537.5
2010,166.666666666667,279.166666666667,300,1029.16666666667,1170.83333333333,1733.33333333333,1066.66666666667,1945.83333333333,1725,1591.66666666667,320.833333333333,212.5,912.5,500,575,2379.16666666667,520.833333333333,595.833333333333,1791.66666666667,308.333333333333,912.5,762.5,470.833333333333,287.5,1070.83333333333,170.833333333333,716.666666666667,7162.5,1962.5,816.666666666667,1937.5,416.666666666667
2010.25,308.333333333333,495.833333333333,400,1754.16666666667,2100,1554.16666666667,1125,2133.33333333333,2420.83333333333,1633.33333333333,429.166666666667,216.666666666667,1212.5,725,1020.83333333333,2625,608.333333333333,712.5,1441.66666666667,295.833333333333,866.666666666667,912.5,370.833333333333,291.666666666667,975,283.333333333333,716.666666666667,5850,2150,591.666666666667,550,416.666666666667
2010.5,400,504.166666666667,387.5,2037.5,3362.5,1312.5,1120.83333333333,1937.5,3250,1937.5,837.5,879.166666666667,1133.33333333333,929.166666666667,783.333333333333,2808.33333333333,583.333333333333,508.333333333333,2333.33333333333,412.5,1133.33333333333,850,562.5,366.666666666667,1620.83333333333,433.333333333333,741.666666666667,7016.66666666667,2250,925,1950,366.666666666667
2010.75,625,600,504.166666666667,2037.5,2562.5,1383.33333333333,700,3516.66666666667,3145.83333333333,2945.83333333333,933.333333333333,345.833333333333,700,912.5,1016.66666666667,4133.33333333333,604.166666666667,895.833333333333,2045.83333333333,408.333333333333,2229.16666666667,1241.66666666667,554.166666666667,725,2108.33333333333,1066.66666666667,1095.83333333333,7254.16666666667,1487.5,1029.16666666667,1800,395.833333333333
2011,729.166666666667,475,300,1070.83333333333,2275,1766.66666666667,695.833333333333,3416.66666666667,2104.16666666667,2008.33333333333,1270.83333333333,487.5,608.333333333333,591.666666666667,1020.83333333333,2491.66666666667,487.5,1150,2529.16666666667,508.333333333333,1654.16666666667,929.166666666667,420.833333333333,620.833333333333,2095.83333333333,800,945.833333333333,6533.33333333333,1633.33333333333,1050,1012.5,379.166666666667
2011.25,500,595.833333333333,400,1687.5,2445.83333333333,3016.66666666667,837.5,3720.83333333333,2912.5,2029.16666666667,1133.33333333333,400,816.666666666667,600,1241.66666666667,2458.33333333333,591.666666666667,783.333333333333,2758.33333333333,495.833333333333,1791.66666666667,1083.33333333333,508.333333333333,716.666666666667,2350,954.166666666667,1133.33333333333,6120.83333333333,2737.5,1041.66666666667,2266.66666666667,408.333333333333
2011.5,608.333333333333,479.166666666667,500,2383.33333333333,2770.83333333333,3229.16666666667,712.5,3700,3004.16666666667,2033.33333333333,1241.66666666667,579.166666666667,1479.16666666667,587.5,1095.83333333333,3233.33333333333,929.166666666667,887.5,3316.66666666667,500,1883.33333333333,1112.5,554.166666666667,716.666666666667,2333.33333333333,1179.16666666667,1008.33333333333,8241.66666666667,3225,791.666666666667,2337.5,700
2011.75,1083.33333333333,633.333333333333,387.5,1916.66666666667,2520.83333333333,1158.33333333333,954.166666666667,3820.83333333333,3787.5,2908.33333333333,1029.16666666667,433.333333333333,1375,829.166666666667,1045.83333333333,4370.83333333333,829.166666666667,1091.66666666667,1729.16666666667,525,2533.33333333333,1362.5,704.166666666667,704.166666666667,2383.33333333333,1404.16666666667,1229.16666666667,7033.33333333333,2254.16666666667,1370.83333333333,1333.33333333333,625
2012,845.833333333333,516.666666666667,416.666666666667,2870.83333333333,2162.5,1154.16666666667,491.666666666667,3654.16666666667,3950,3095.83333333333,1395.83333333333,416.666666666667,1579.16666666667,854.166666666667,1283.33333333333,3337.5,625,1191.66666666667,1925,404.166666666667,1841.66666666667,916.666666666667,820.833333333333,833.333333333333,2366.66666666667,1250,837.5,7150,2600,1037.5,2054.16666666667,629.166666666667
2012.25,400,641.666666666667,408.333333333333,2554.16666666667,2004.16666666667,1341.66666666667,658.333333333333,3487.5,3208.33333333333,2520.83333333333,1162.5,429.166666666667,1237.5,854.166666666667,1166.66666666667,3341.66666666667,637.5,733.333333333333,2475,408.333333333333,1454.16666666667,1075,558.333333333333,612.5,1516.66666666667,1279.16666666667,720.833333333333,6312.5,2591.66666666667,829.166666666667,1362.5,525
2012.5,404.166666666667,395.833333333333,520.833333333333,2758.33333333333,2029.16666666667,1320.83333333333,504.166666666667,3558.33333333333,3141.66666666667,2508.33333333333,941.666666666667,762.5,1387.5,837.5,929.166666666667,2583.33333333333,733.333333333333,841.666666666667,2200,295.833333333333,2545.83333333333,1045.83333333333,875,629.166666666667,1645.83333333333,1166.66666666667,737.5,5837.5,2679.16666666667,720.833333333333,1583.33333333333,862.5
2012.75,833.333333333333,395.833333333333,404.166666666667,2095.83333333333,1333.33333333333,1137.5,791.666666666667,4154.16666666667,3704.16666666667,3554.16666666667,937.5,500,1012.5,1154.16666666667,1229.16666666667,5800,608.333333333333,1254.16666666667,2279.16666666667,412.5,2066.66666666667,1462.5,916.666666666667,737.5,1554.16666666667,1679.16666666667,1583.33333333333,7179.16666666667,2808.33333333333,1462.5,1333.33333333333,1037.5
2013,525,300,408.333333333333,1400,1629.16666666667,1041.66666666667,662.5,2741.66666666667,2529.16666666667,3329.16666666667,841.666666666667,179.166666666667,658.333333333333,1037.5,1258.33333333333,3979.16666666667,604.166666666667,1025,1529.16666666667,520.833333333333,1308.33333333333,883.333333333333,825,733.333333333333,1333.33333333333,837.5,1116.66666666667,5658.33333333333,2075,1000,1325,941.666666666667
2013.25,737.5,500,733.333333333333,2016.66666666667,1745.83333333333,1062.5,1000,3983.33333333333,3495.83333333333,3333.33333333333,941.666666666667,1316.66666666667,983.333333333333,1016.66666666667,1200,3783.33333333333,483.333333333333,908.333333333333,1958.33333333333,516.666666666667,2120.83333333333,895.833333333333,1175,958.333333333333,1216.66666666667,1175,1020.83333333333,5733.33333333333,2654.16666666667,1491.66666666667,1629.16666666667,829.166666666667
