Time,Exports Goods,Imports Goods,Exports Services Manufacturing,Exports Services Maintenance And Repair,Exports Services Transport,Exports Services Travel,Exports Services Insurance,Exports Services Government Goods And Services,Exports Services Construction,Exports Services Financial,"Exports Services Telecommunications, Computer & Information",Exports Services Charges For The Use Of Intellectual Property,"Exports Services Personal, Cultural And Recreational",Exports Services Other Business Services,Imports Services Manufacturing,Imports Services Maintenance And Repair,Imports Services Transport,Imports Services Travel,Imports Services Insurance,Imports Services Government Goods And Services,Imports Services Construction,Imports Services Financial,"Imports Services Telecommunications, Computer & Information",Imports Services Charges For The Use Of Intellectual Property,"Imports Services Personal, Cultural And Recreational",Imports Services Other Business Services
  2012 3Q,137657.1,112524,61,2118.1,13909.6,5677.8,832.8,96,487.9,4935.4,2096.3,843.5,159.4,8138.1,1306.5,231.8,11172.4,7034.1,863.1,60.7,159.2,982.7,2382,7370.9,137.3,9514.4
  2012 2Q,145181.7,121481.2,64.3,2382.9,14063.2,5598.7,855.8,95.6,468.8,5119.5,2127.4,881.9,137.1,8250.8,1378.4,205.6,11102.6,7240.1,895.1,43.9,161.9,987.2,2396.8,7421.8,137.8,9641.1
  2012 1Q,144363.1,121065.8,62.3,2375.8,13612.1,6123.3,958.4,95,466.3,4827.4,2140.8,846.2,143.7,7895.2,1335,203.3,10966.2,6765.6,958.4,81.8,153.3,960.1,2387.7,7009.3,140.6,9771.5
  2011 4Q,144287.9,120780.8,65.1,2482.3,13175.1,5692.3,679.7,93,526.3,4705.8,1578.3,805.8,146.1,7674.6,1121.1,204.3,10569,7266.1,768.1,64.6,178.1,923.2,1830,6510.5,147.1,8485
  2011 3Q,143571.9,118615.9,64.7,2632,13289.1,6028.6,786.9,92.8,498.2,4809.9,1510.1,796.3,149.2,7554.9,1115.5,241.5,10461.7,6576.7,829.1,50.7,167.5,1023.9,1800.5,6419.1,143.4,7942.8
  2011 2Q,139523.8,117511.8,64.7,2068.8,14177.1,5414.7,752.7,91.8,458.7,4829.7,1544.7,786.8,128,7336,1114.4,213.1,10636.1,6844.3,819.7,49.3,161.6,974.3,1778.4,6287.4,142.2,7870.5
  2011 1Q,137031.7,112479.3,65.9,2159.8,12881.7,5415.6,816.1,91.3,457.8,4783.2,1606.8,956.5,133.5,7154,1135.9,213.4,10122.6,6254.5,901.7,96.2,154.2,993.7,1777.2,6373.9,144.3,8316.4
  2010 4Q,131576.9,107459.4,71.3,1994.3,13917.7,5354.4,731.5,90.6,363.4,4724.1,1241.2,649.5,111.8,6708.8,1109,212.6,10455,6922.9,707,74.6,177.6,862.6,1155.9,5720.6,144.9,7594.5
  2010 3Q,133113.1,109634.8,71.2,2007.6,13398.9,5390.1,819.2,90.3,353.1,3938.9,1216.6,648.8,110.7,6577.8,1107.6,248.9,10055.6,6195.8,813.3,56.7,172.3,890.9,1134.7,5714,143.5,7475.1
  2010 2Q,128234,106791.6,80.6,2359.1,12787.8,4763.3,926.1,89.8,347.4,4005.2,1200.1,733.7,110,6669.3,1252.7,202.4,10057,6424.6,873.7,41.5,169.5,832.9,1113.1,6462.4,142.6,7621.4
  2010 1Q,117620.9,100437.8,66.4,2287.4,12502.2,3823.4,840.9,89.2,342.6,3985,1173.3,604.2,100.8,6402.7,1031.7,210.2,9735.4,5954,846.3,88.5,167.2,907.4,1083.5,5322.6,130.5,7240.7
  2009 4Q,115831.4,96514.1,82.1,2198.2,11675.2,3693.5,595.7,87.5,427.6,4497.6,1016.2,528.9,101.9,6648.9,831.4,236.1,9843.6,6409.1,690.2,62.1,157.2,803.7,937.7,4968.7,113.9,7454.4
  2009 3Q,111894.7,92940.3,90.8,2215.9,10784.8,3180,560,87.5,388.1,3880.4,967.7,584,101,6583.1,917.9,276.6,9022.2,5623.9,603.1,95.6,142.8,802.4,886.4,5485.3,113.1,7401.3
  2009 2Q,100604.1,83087.4,80.4,2284.1,10232.4,3249.8,531.1,87.2,362.4,3775.5,918.2,517.1,97.9,6273.3,812.7,236.1,8507.7,5617.4,539.5,48.9,133.4,696.5,834.5,4856.5,109.5,7007.5
  2009 1Q,92773.4,78908.8,70.1,2429.9,10673.3,3294.4,523.4,87.6,366.5,3460.7,902,450.8,97.2,6090.1,708.7,242.2,8386.4,5190.5,473.6,113.4,134.8,676.1,817.7,4235.3,108.8,6764.2
  2008 4Q,109086.3,98890.5,107.5,2223.9,12270.2,4026.9,439.2,87.6,432.2,3168.8,959.2,408.3,117.7,6356.5,608,189.3,9974.6,6217.6,587.1,73.5,138.6,773.4,891.4,4578,133.5,7319.1
  2008 3Q,136062,120824.3,113.1,2265.8,13140.4,3714.9,453.5,87.6,404.7,4063.3,952,429.6,117.1,6540.3,639.5,207.3,10730.7,5514.2,634.4,61.8,129.6,910.6,883.3,4815.4,132.4,7551.1
  2008 2Q,130701.6,115128.8,108.3,1542.7,12773.3,3616.3,541.8,87.1,355.2,4233.4,905.7,411.3,116.1,6442.2,612.2,181.1,10651.1,5897.4,682.1,62.8,113.6,924.6,831.8,4609.5,131.3,7417.6
  2008 1Q,125304.3,107740,123.2,2322.2,12924.9,3660,507.5,85.8,340.1,4254.1,858.8,467.9,114.2,6482.6,696.6,179.3,10455.6,5489.9,647.4,121,108.8,957.5,779.2,5245.1,128.9,7508.2
  2007 4Q,122020.7,104546.8,125.7,1564.3,11691.7,3757.3,426.9,82.5,312.7,4545.8,755.9,336.5,50.9,5993.3,398.8,131,10795.9,5708.9,574.8,65.1,93.7,1008.3,751,3774,45.1,6733.5
  2007 3Q,121526.9,96167.1,132.6,1705.3,11147.8,3562,363.7,81.9,287.2,4151.5,722.2,354.8,51,5939.3,420.6,153.8,10166.6,4957.4,544.3,67.2,86.1,854.7,711.1,3980.1,44.9,6709.5
  2007 2Q,114896.9,93472.4,119.7,1887.1,10408.6,3372.3,365.2,80.9,257.9,3820.8,693.3,320.3,50,5731.7,379.6,130.9,9940.5,5142.3,543.3,62.4,77.3,840.5,678.8,3592,44.2,6430.4
  2007 1Q,111003.2,87644.8,114.6,1448.9,10394.7,2971.9,414.3,80.1,279.3,3305.6,658.8,306.6,49.8,5521.4,363.4,130.7,9551,4542.3,551.4,85.6,83.7,761.9,646,3439.2,43.8,6302.2
  2006 4Q,113064.9,89920.1,146.4,1571.5,9330.9,3276.2,303.9,80.1,235.9,3156.1,658.8,297,32.5,5719.8,332.5,113.6,9382.9,4860.1,506.9,65.4,67.8,590.4,654.1,4249.5,42.2,6329.2
  2006 3Q,115852.1,95544.8,136.4,1496.1,9058.3,3025.9,292,80.1,224.4,2541.1,627.8,276.7,32.6,5548,309.7,130.4,9402.8,4359.2,484.5,61.1,64.6,564.7,617.1,3957.9,42,6130.4
  2006 2Q,110696.9,91016.7,128.1,1420.4,8580.3,2970.2,354.5,80,198.6,2596.7,604.9,259.9,32.4,5310.5,290.9,114.1,9095.9,4519.5,517,92.6,57.2,576.4,595.4,3717.3,41.4,5855.6
  2006 1Q,106242.2,86229.4,123.8,1213,8907.6,2701.2,303.7,80,222.6,2419.2,588.1,251.2,32.3,5147.1,281.1,113.3,8821.8,4165.2,464,90.6,63.9,554.4,582.4,3592.1,41.3,5728.8
  2005 4Q,112583.8,89514,89,1256.4,8628.2,2896.2,285.5,76.5,236.2,2199.6,443.7,305.9,30.4,3929.1,322.5,73,9046.8,4455.7,556.5,64.1,87.2,416.7,480.4,4468.3,47,4634.4
  2005 3Q,105195.6,83458.3,81.6,1295.8,8306.2,2645.8,219.3,76.7,221.7,2161.6,441.4,280.4,30.4,3850.8,295.5,92.4,8504.2,4038,460.7,74.5,81.8,392,479.5,4094.3,46.9,4505.5
  2005 2Q,96395.9,77815.7,75.5,1151.6,7837.5,2500.1,315.9,76.7,209.7,1777.6,436.4,259.4,29.4,3715.9,273.3,76.7,8321.8,4283.2,569.5,52.3,77.3,373.5,476.7,3785.7,45.3,4349.6
  2005 1Q,88886.3,72970,68.9,1093.9,7663.2,2292.4,317.3,76.7,233.7,1523.9,420.8,236.6,29.2,3574.1,249.4,72.3,7757.7,3984.1,500.8,107,86.3,342.3,459.4,3454.6,45.2,4166.1
  2004 4Q,92518.8,73775.5,95.5,1021.2,7667.8,2545.8,223.9,71,275.1,1695.9,470.1,201,30.8,3610.2,232.2,53.5,7990.8,4233.7,478,70.2,143.6,364.4,442.2,3682.8,50.1,4629.8
  2004 3Q,92357.4,73774.5,88.2,855.6,7324.4,2282.6,223.6,71.2,271.4,1565.7,470.7,185.7,30.5,3526.7,214.3,66.6,7595.1,3773,507.3,49.1,141.8,333.9,446.2,3399.2,50,4476.2
  2004 2Q,85742.4,69736.4,87.6,869.1,6816.5,2150.1,284.8,71.2,257.9,1631.5,428.5,184.3,29.8,3490.2,212.8,59.5,7397,4012.5,562,59.4,134.7,343.1,375.1,3375.4,48.7,4319.1
  2004 1Q,78578.3,63300.2,81.9,704.6,6821.6,2018.2,235.2,71.1,289.4,1454,409.5,172.4,30.2,3401.6,199,58.3,6963.9,3685,470.2,103,151.1,333.4,349.7,3156.4,49.5,4272.5
  2003 4Q,79148.9,61772.3,81.6,759.7,6537.2,1959.4,219.8,66.4,191.4,1367.2,372.7,101.1,25.3,2666.6,111.3,52.1,6323,4240.5,513,55.3,54.2,324.7,430.6,3181,41.7,4083.2
  2003 3Q,74441.1,57436,77.6,716,6107,1780.6,250.9,66.7,191.5,1593.2,355.6,95.9,25.1,2627.7,105.8,64,5690.8,3753,511.1,53,54,331.9,399.9,3021.4,40.9,3550.3
  2003 2Q,69444.3,55227.8,71.3,739.6,4886.8,1145.3,199.4,66.5,176.3,1350.3,344,88,23.8,2491.8,97.2,56.4,5148.5,3070.4,436.6,30.7,49.7,304.5,387.4,2775.8,38.8,3370.2
  2003 1Q,68634.9,53183.1,72.6,667.8,5812.2,1821.1,186.4,66.6,183.4,1370.8,351.5,89.6,25.3,2499.6,98.9,52.7,5510.1,3530.6,434.1,74,51.7,295.5,402.9,2826.8,41.3,3390.2
  2002 4Q,66952.2,54753.5,92.8,753.1,5550,2114,347.9,61.5,132.1,1120.5,338.9,76.1,19.8,2257.2,126.1,52,5053.4,3985,560.2,66.2,48.5,266,370.1,2225,47.2,2949.5
  2002 3Q,65772.1,54914.7,94.8,896.6,5473.1,1929.1,221.8,61.8,134.4,1209.2,347.9,77.7,19.5,2266.5,128.8,62.2,4775.3,3576.4,443.2,42.1,49.2,282,389.2,2272.5,46.9,2916.8
  2002 2Q,64390.3,55877.1,96.4,699.9,5277.2,1918.2,231.1,61.7,130,1112.5,344.6,79,19.2,2244.3,131,54.4,4713.2,3647.4,448.9,28.4,47.6,261.9,383.6,2312,45.9,2904.3
  2002 1Q,57976.3,49175.8,85.5,722.2,5239,2019.2,201.1,61.7,146.7,1093.9,334.2,70.1,19,2133.3,116.2,53.6,4495.6,3482.9,382.6,65.8,53.7,249.9,376.4,2050.8,45.4,2688.9
  2001 4Q,60892,50561.6,48.3,551.6,5294.5,2025.9,220.7,57,83.8,1062,336.9,33.8,25.1,2100.9,78.1,46.3,5412,3127.4,459.5,46.3,57.3,310.1,417.6,2190.1,26.6,2235.3
  2001 3Q,59673.7,51403,46.9,544.9,5098.8,2082.5,174.1,57.2,88.7,915.2,324.8,32.6,24.8,2120.8,76,52.5,5134.3,2899.1,425.7,41.5,60.7,222.9,390.5,2128.5,26.3,2239.4
  2001 2Q,62642,53505.4,48.6,525.3,4959.7,2098.8,233.1,57.2,85.1,960.7,323.8,33.7,23.9,2122,78.7,48,5506.3,3022.2,502.9,32.7,58.2,212.3,389,2205.2,25.4,2229.1
  2001 1Q,64756.6,55633.9,51.2,477.7,5144.9,2105.2,105,57.1,88.6,968.9,311.9,35.5,24.4,2092,82.9,48.9,5554.5,2794.5,380.5,61.9,60.6,236.8,373.3,2323.7,26,2248.8
  2000 4Q,73117,66510.2,54.4,484.9,5289,2141.6,326.4,53.3,61.2,757.2,259.4,30.2,16.5,2039.7,58.6,40.5,5816.7,2414.9,652.5,42.2,58.2,251,372.1,2363.5,19.7,1895.7
  2000 3Q,71851.5,63726,53.3,398.9,5301.6,2378.4,257.9,53.2,60.6,767.3,255.9,29.4,16.2,2025,57.4,46.9,5491.4,2065.4,571.4,34.7,57.5,258,365.5,2313.9,19.9,1856.6
  2000 2Q,63999.8,57433.5,49,461.7,4961.9,2204.5,238.2,53.1,55.3,784.4,249.2,27.1,15.6,1960.2,52.8,42.7,5379.2,2152.8,501.5,27.3,52.4,262,355.8,2128.4,19.4,1762.4
  2000 1Q,58147,52268.3,45.7,409.8,4826.8,2140.2,102.9,53.1,54.7,872.3,226.2,25.3,15.6,1910.5,49.3,41.1,4941.9,1880.6,396.1,65.8,51.7,267.7,313.8,1985.2,19.5,1724
